"08 - Cliente Código","09 - Cliente Nome","22 - Escritório de vendas Nome","35 - UF","25 - Segmentação Nome","Vendedor_Desc","Cliente_Cidade","Rua e nº","Bairro","Código postal"
"290476","MDR TELHAS E CONSTRUCAO LTDA","SE - SP","RJ","Pequeno A - 3","Mana-Loa Repres Ltda - Me","RIO DE JANEIRO","R DO IMPERIO 00542","SANTA CRUZ","23555-024"
"201165","CONSTRUINDO SEMPRE MAT CONSTR","SE - SP","RJ","Pequeno A - 3","Thiago Luna De Souza","RIO DE JANEIRO","R SAO JANUARIO 142, LOJA","SAO CRISTOVAO","20921-003"
"19599","ROSHELAR MAT ELETR E HIDR LTDA ME","SE - SP","RJ","Pequeno A - 3","D D R Oliveira Goncalves Repres Ltd","RIO DE JANEIRO","R DO GOVERNO 1067","REALENGO","21770-100"
"13493","BAZAR M C NOVO RIO LTDA","SE - SP","RJ","Pequeno A - 3","Thiago Luna De Souza","RIO DE JANEIRO","R ALUISIO AMANCIO 5","BENFICA","20911-410"
"273586","K B MATERIAL DE CONSTR EM GERAL LTD","SE - SP","RJ","Pequeno A - 3","F Silva Reis Representacoes Lt","RIO DE JANEIRO","DO MATO ALTO 4965 4965 LC","GUARATIBA","23030-320"
"158039","HIPERTINTAS CAPOEIRAS COM DE TINTAS","SE - SP","RJ","Pequeno A - 3","Severino Do Ramos Do Nascimento","RIO DE JANEIRO","ESTR DAS CAPOEIRAS 737","CAMPO GRANDE","23085-660"
"172108","M S DE RESENDE MAT CONSTR ME","SE - SP","RJ","Pequeno A - 3","F Silva Reis Representacoes Lt","RIO DE JANEIRO","ESTR VITOR DUMAS SN","SANTA CRUZ","23550-570"
"157099","LMF2012 COM MAT CONSTR LTDA ME","SE - SP","RJ","Pequeno A - 3","D D R Oliveira Goncalves Repres Ltd","RIO DE JANEIRO","R LIZARDA 171, LT 20","REALENGO","21725-100"
"240121","FRANCISCO A SANTOS MATERIAIS DE","SE - SP","RJ","Pequeno A - 3","Sidney Da Silva Costa","RIO DE JANEIRO","ESTRADA DOS BANDEIRANTE 23483,","VARGEM GRANDE","22785-091"
"233844","FERRAGENS BANGU EIRELI","SE - SP","RJ","Pequeno A - 3","Mana-Loa Repres Ltda - Me","RIO DE JANEIRO","R DA FEIRA 1123","BANGU","21820-030"
"272904","ELDORADO DE CAMPO GRANDE MAT DE CON","SE - SP","RJ","Pequeno A - 3","F Silva Reis Representacoes Lt","RIO DE JANEIRO","MONTEIRO 950","CAMPO GRANDE","23045-830"
"216773","C W L 2015 MAT CONSTR EIRELI","SE - SP","RJ","Pequeno A - 3","F Silva Reis Representacoes Lt","RIO DE JANEIRO","ESTR DO TAQUARAL 1440","BANGU","21842-550"
"43261","UNIFERRO LTDA","Nordeste","PE","Grande - 2","Omar Abreu De Carvalho","RECIFE","AV MAL MASCARENHAS DE MORAES 4","IMBIRIBEIRA","51170-002"
"68487","TUPAN CONSTR LTDA","Nordeste","PE","Home Center Regional","Edific Repres Ltda","RECIFE","ESTR DOS REMEDIOS 1462","AFOGADOS","50750-360"
"193320","CIDADE JARDIM MAT CONSTR LTDA","Nordeste","PE","Home Center Nacional","Felix Representacao Com. Ltda.","RECIFE","AV MAL MASCARENHAS DE MORAI 39","IMBIRIBEIRA","51150-003"
"26995","COML CANAL LTDA","Nordeste","PE","Medio A - 1","Caluete Repres E Com Ltda","RECIFE","AV FERNANDO SIMOES BARBOSA 127","BOA VIAGEM","51021-060"
"23638","LIMARI MAT CONSTR LTDA","Nordeste","PE","Medio A - 1","Edific Repres Ltda","RECIFE","AV LIBERDADE 972","SANCHO","50920-310"
"28641","JOSE DIAS SILVA COM","Nordeste","PE","Medio A - 2","Aquino'S Representacoes Ltda","RECIFE","AV DA RECUPERACAO 2691","GUABIRABA","52291-000"
"271233","EJ DA SILVA MATERIAL DE CONSTRUCAO","Nordeste","PE","Medio A - 2","Aquino'S Representacoes Ltda","RECIFE","RUA CORREGO DO EUCLIDES 500","ALTO JOSE BONIFACIO","52080-000"
"30253","ARMAZEM CORAL LTDA","Nordeste","PE","Mega","Felix Representacao Com. Ltda.","RECIFE","AV BEBERIBE 1310","ARRUDA","52120-000"
"86950","ARMAZEM CORAL LTDA","Nordeste","PE","Mega","Felix Representacao Com. Ltda.","RECIFE","AV NORTE MIGUEL ARRAES DE ALEN","CASA AMARELA","52051-000"
"297241","ANA PAULA DIAS NOGUEIRA DE MORAIS","Nordeste","PE","Pequeno A - 1","Edific Repres Ltda","RECIFE","rua Estelita Borges 20","imbiribeira","51160-120"
"254261","LOJA DO CONDOMINIO LTDA","Nordeste","PE","Pequeno A - 1","Aquino'S Representacoes Ltda","RECIFE","R REAL DA TORRE 682","MADALENA","50610-000"
"19539","COML LOSAN LTDA","Nordeste","PE","Pequeno A - 1","Edific Repres Ltda","RECIFE","R FRANCISCO CUNHA 190","BOA VIAGEM","51020-041"
"145692","SOGIL MAT CONST LTDA.","Nordeste","PE","Pequeno A - 1","Omar Abreu De Carvalho","RECIFE","R FRANCISCO BARRETO 250","IPSEP","51350-230"
"161221","ELETRICA VIRGOLINO LTDA","Nordeste","PE","Pequeno A - 1","Edific Repres Ltda","RECIFE","R VINTE E UM DE ABRIL 2285","AFOGADOS","50761-350"
"174067","ANDRE VICTOR DE LIRA MONTEIRO","Nordeste","PE","Pequeno A - 1","Aquino'S Representacoes Ltda","RECIFE","AV BICENTENARIO REVOLUCAO FRAN","TORROES","50660-320"
"269318","C F DE MORAES RAMOS ME","Nordeste","PE","Pequeno A - 1","Aquino'S Representacoes Ltda","RECIFE","R DR MIGUEL VIEIRA FERREIRA 53","CORDEIRO","50721-230"
"146414","JOSE FELIX SILVA","Nordeste","PE","Pequeno A - 1","Aquino'S Representacoes Ltda","RECIFE","AV BI CENTENARIO REVOL FRANCES","TORROES","50660-320"
"11744","ARMAZEM BEIRA MAR LTDA","Nordeste","PE","Pequeno A - 1","Omar Abreu De Carvalho","RECIFE","AV ENG DOMINGOS FERREIRA 40","PINA","51011-050"
"242484","C & A MATERIAL DE CONSTRUCAO LTDA","Nordeste","PE","Pequeno A - 1","Edific Repres Ltda","RECIFE","R IPOJUCA 437","AREIAS","50780-010"
"20478","ALICERCE COML LTDA","Nordeste","PE","Pequeno A - 1","Omar Abreu De Carvalho","RECIFE","R ITAJUBA 78","IMBIRIBEIRA","51150-360"
"81792","JOSE HERMINIO DE MELO FILHO","Nordeste","PE","Pequeno A - 1","Edific Repres Ltda","RECIFE","AV DOIS RIOS 892","IBURA","51230-000"
"19979","JOAO DINIZ ABRANTES VAZ","Nordeste","PE","Pequeno A - 1","Aquino'S Representacoes Ltda","RECIFE","AV CAXANGA 1921","CORDEIRO","50721-000"
"187429","MARCOS ANDRE CRUZ SABURIDO","Nordeste","PE","Pequeno A - 1","Edific Repres Ltda","RECIFE","AV LIBERDADE 839, FUNDOS","SANCHO","50920-310"
"280296","LEONILDO G DA SILVA MAT DE CONST ME","Nordeste","PE","Pequeno A - 1","Aquino'S Representacoes Ltda","RECIFE","RUA CORREGO DA AREIA 231 B","MACAXEIRA","52191-040"
"95079","EDILENE VIEIRA DE ARAUJO MAT CONSTR","Nordeste","PE","Pequeno A - 1","Omar Abreu De Carvalho","RECIFE","R SANTOS LEITE 4, A","PINA","51110-140"
"128173","START COM VAREJISTA MAT CONSTR LTDA","Nordeste","PE","Pequeno A - 1","Edific Repres Ltda","RECIFE","R JOSE GOMES MOURA 431","ESTANCIA","50865-040"
"60455","VALDOMIRO RODRIGUES SILVA","Nordeste","PE","Pequeno A - 1","Aquino'S Representacoes Ltda","RECIFE","AV INACIO DE BARROS BARRETO 42","VARZEA","50741-390"
"172461","JOSE EDVANIO DE SOUZA","Nordeste","PE","Pequeno A - 1","Edific Repres Ltda","RECIFE","AV LIBERDADE 1622","SANCHO","50940-280"
"224415","JOSIVILMA RAMALHO FERREIRA ME","Nordeste","PE","Pequeno A - 1","Aquino'S Representacoes Ltda","RECIFE","AV BI-CENTENARIO REVOLUCAO FRA","TORROES","50660-320"
"135138","FLAVIA GALDINO ANDRADE ME","Nordeste","PE","Pequeno A - 1","Aquino'S Representacoes Ltda","RECIFE","R LUIZ CESARIO MELO 292","VASCO DA GAMA","52081-010"
"290823","J A SILVA COMERCIO VAREJISTA DE TIN","Nordeste","PE","Pequeno A - 1","Aquino'S Representacoes Ltda","RECIFE","AV DANTAS BARRETO 1189","SAO JOSE","50020-000"
"283766","M L DA SILVA SOUZA","Nordeste","PE","Pequeno A - 1","Aquino'S Representacoes Ltda","RECIFE","AV HILDEBRANDO DE VASCO 474, C","DOIS UNIDOS","52140-005"
"17374","ARMAZENS CASA AMARELA LTDA ME","Nordeste","PE","Pequeno A - 1","Aquino'S Representacoes Ltda","RECIFE","AV NORTE MIGUEL ARRAES ALENCAR","VASCO DA GAMA","52081-000"
"41883","EJEC MAT CONSTR LTDA","Nordeste","PE","Pequeno A - 2","Edific Repres Ltda","RECIFE","R FRANCISCO CUNHA 260, LJ 455","BOA VIAGEM","51020-041"
"271537","M S CONSTRUCOES, COM E SERV EIRELI","Nordeste","PE","Pequeno A - 2","Aquino'S Representacoes Ltda","RECIFE","RUA BRIGADEIRO ANTONIO DE SAMP","CIDADE UNIVERSITARIA","50950-005"
"84026","M S SOUZA MAT CONSTR","Nordeste","PE","Pequeno A - 2","Edific Repres Ltda","RECIFE","R EXPEDICIONARIO F VITORI 29,","COHAB","51310-000"
"147386","ALEGRIA MATERIAL CONSTR LTDA","Nordeste","PE","Pequeno A - 2","Caluete Repres E Com Ltda","RECIFE","R QUINZE DE NOVEMBRO 650","TEJIPIO","50920-530"
"214759","L C DOS SANTOS SOARES ME","Nordeste","PE","Pequeno A - 2","Edific Repres Ltda","RECIFE","AV DOIS RIOS 453, LJ D","IBURA","51230-000"
"66728","MAESB MAT CONSTR EST E BEB LTDA","Norte","AM","Grande - 1","Fabio Costa Moreira","MANAUS","AV BRASIL 156","COMPENSA 1","69035-110"
"191000","J A COM MAT CONSTR LTDA","Norte","AM","Home Center Regional","Fabio Costa Moreira","MANAUS","AV AUTAZ MIRIM 7637","TANCREDO NEVES","69087-647"
"183946","SAO PEDRO COMERCIO DE FERRAGENS LTD","Norte","AM","Medio A - 1","Salles E Lopes Com E Rep De Mat P/","MANAUS","AV TORQUATO TAPAJOS 11546","SANTA ETELVINA","69090-000"
"113190","C F MAT CONSTR LTDA ME","Norte","AM","Medio A - 1","Fabio Costa Moreira","MANAUS","R 219 26, QD 360","CIDADE NOVA","69095-000"
"292020","J K DE S MOTA COMERCIO DE PRODUTOS","Norte","AM","Medio A - 1","Salles E Lopes Com E Rep De Mat P/","MANAUS","R GALDINO RAMOS 226","SAO JORGE","69033-220"
"159320","ANDRE LUIGI COELHO DE OLIVEIRA EPP","Norte","AM","Mega","Henrique Teixeira De Albuquerque","MANAUS","AV ARQ JOSE HENRIQUES B RODRIG","SANTA ETELVINA","69015-690"
"23867","BENY MAT CONSTR LTDA","Norte","AM","Mega","Fabio Costa Moreira","MANAUS","BLV SEN ALVARO MAIA 1449, TERR","CENTRO","69020-210"
"286922","REI DA CONSTRUCAO MATERIAIS DE","Norte","AM","Pequeno A - 1","Henrique Teixeira De Albuquerque","MANAUS","R DOS CIPRESTES 234","NOVO ALEIXO","69098-425"
"191503","UNYTEKI COM E CONSTR LTDA EPP","Norte","AM","Pequeno A - 1","Raiol Santos Parente","MANAUS","AV TEFE 2573, CASA A","RAIZ","69068-000"
"232590","LEGAL COM VAREJ MAT ELETR EIRELI ME","Norte","AM","Pequeno A - 1","Raiol Santos Parente","MANAUS","R JOSE TADROS 116","SANTO ANTONIO","69029-510"
"126333","ROSINALDO R DA SILVA","Norte","AM","Pequeno A - 1","Salles E Lopes Com E Rep De Mat P/","MANAUS","R PIRARUCU 896, QD 27","JORGE TEIXEIRA","69088-765"
"215293","PEKPLAST MAT CONSTR LTDA EPP","Norte","AM","Pequeno A - 1","Salles E Lopes Com E Rep De Mat P/","MANAUS","R BARAO DO RIO BRANCO 1195","FLORES","69058-581"
"138111","JAIR JOSE DE LIMA ME","Norte","AM","Pequeno A - 1","Henrique Teixeira De Albuquerque","MANAUS","R SANTA MARIADA DA PAZ 767","CIDADE NOVA","69099-644"
"105732","FERRAGENS SAO LUIS LTDA","Norte","AM","Pequeno A - 1","Raiol Santos Parente","MANAUS","R CASTELO BRANCO 352","CACHOEIRINHA","69065-010"
"261473","PEDROSA PEDROSA MARTINEZ E GUENKA","Norte","AM","Pequeno A - 1","Raiol Santos Parente","MANAUS","AVE CONSTANTINO NERY 2610","FLORES","69058-795"
"294713","CONSTRUA COM COM DE MAT DE CONST","Norte","AM","Pequeno A - 1","Raiol Santos Parente","MANAUS","AV DES JOAO MACHADO 3586","PLANALTO","69044-000"
"126570","SEBASTIAO OLIVEIRA LOPES","Norte","AM","Pequeno A - 1","Raiol Santos Parente","MANAUS","AV JORGE BIVAQUA 122","JAPIIM","69078-260"
"133466","J S SILVA MAT CONSTR ME","Norte","AM","Pequeno A - 1","Henrique Teixeira De Albuquerque","MANAUS","AV FLOR SANTA RITA 152","TARUMA","69041-220"
"126319","J P DIOGO FERREIRA","Norte","AM","Pequeno A - 1","Salles E Lopes Com E Rep De Mat P/","MANAUS","AV SAMAUMA 1263","MONTE DAS OLIVEIRAS","69091-970"
"263568","ANDERSON SANTOS DA SILVA","Norte","AM","Pequeno A - 1","Salles E Lopes Com E Rep De Mat P/","MANAUS","R PACAJUS 33","GILBERTO MESTRINHO","69086-436"
"138104","ANA FARIAS MARTINS ME","Norte","AM","Pequeno A - 1","Henrique Teixeira De Albuquerque","MANAUS","AV TIMBIRAS 22, CJ SN","CIDADE NOVA","69098-010"
"126317","M E MAT CONSTR LTDA","Norte","AM","Pequeno A - 1","Henrique Teixeira De Albuquerque","MANAUS","AV SAMAUMA 2052, LOTE J","MONTE DAS OLIVEIRAS","69093-132"
"126143","SHOP LU MAT ELETRICO E ELETR LTDA","Norte","AM","Pequeno A - 1","Raiol Santos Parente","MANAUS","R BELEM 771","ADRIANOPOLIS","69057-030"
"142592","G T DE SOUSA MATERIAIS DE CONSTR","Norte","AM","Pequeno A - 1","Henrique Teixeira De Albuquerque","MANAUS","AV CEL SAVIO BELOTA 166, Q 170","CIDADE NOVA","69095-000"
"135997","DANIEL OLIVEIRA SILVA ME","Norte","AM","Pequeno A - 1","Salles E Lopes Com E Rep De Mat P/","MANAUS","R RIO MIRITI 72","SAO JOSE OPERARIO","69086-100"
"126295","AUREO LUCIO CASTRO LIMA","Norte","AM","Pequeno A - 1","Henrique Teixeira De Albuquerque","MANAUS","AV SAMAUMA 153, A","MONTE DAS OLIVEIRAS","69093-132"
"224086","M DO P SOCORRO PEREIRA DA SILVA ME","Norte","AM","Pequeno A - 1","Raiol Santos Parente","MANAUS","AV BRASIL 2291","COMPENSA","69036-110"
"194066","FRANCISCO NASCIMENTO DANTAS","Norte","AM","Pequeno A - 1","Henrique Teixeira De Albuquerque","MANAUS","R ESTRELA DE DAVI 61","NOVO ISRAEL","69039-733"
"133365","F A D MAGNANI ME","Norte","AM","Pequeno A - 2","Raiol Santos Parente","MANAUS","R DA CONSOLACAO 360, LJ 1","ADRIANOPOLIS","69057-520"
"285452","A L DOS SANTOS COMERCIO DE MATERIAL","Norte","AM","Pequeno A - 2","Raiol Santos Parente","MANAUS","R IZAURINA BRAGA 320","COMPENSA","69030-000"
"58154","ALADIN COM IMP MAT ELETR ELETR LTDA","Norte","AM","Pequeno A - 2","Raiol Santos Parente","MANAUS","R DO COMERCIO 49, D","PARQUE 10","69055-000"
"46867","CONSTRUIR COM LTDA","Norte","PA","Grande - 1","Kb Nf Repres Ltda - Epp","BELEM","R SEN LEMOS 857","UMARIZAL","66050-000"
"70065","DICASA COM MAT CONSTR LTDA","Norte","PA","Home Center Regional","Fabio Henrique Costa De Oliveira","BELEM","AV ALM BARROSO 5388","SOUZA","66610-840"
"149226","CASA DO FERRO COMERCIO LTDA","Norte","PA","Medio A - 1","Side Representacoes Ltda Me","BELEM","R DO AEROPORTO 100","AEROPORTO","66915-010"
"157612","VETERANO MAT CONSTR LTDA","Norte","PA","Medio A - 1","W L Repres Ltda - Me","BELEM","R OITO DE SETEMBRO 64","CAMPINA DE ICOARACI (ICOA","66813-010"
"208768","MONTE LAR MAT CONSTR LTDA","Norte","PA","Medio A - 1","Side Representacoes Ltda Me","BELEM","AVENIDA CIPRIANO SANTOS 457","CANUDOS","66070-000"
"72133","MONTENEGRO PISOS E REV LTDA","Norte","PA","Mega","Fabio Henrique Costa De Oliveira","BELEM","ROD AUGUSTO MONTENEGRO KM 03 8","NOVA MARAMBAIA","66623-590"
"225129","BITENCOURT & BITENCOURT COM LTDA","Norte","PA","Mega","Sete Representacoes Ltda","BELEM","R DOS MUNDURUCUS 963","JURUNAS","66025-660"
"248911","M C ANDRE ME","Norte","PA","Pequeno A - 1","W L Repres Ltda - Me","BELEM","PSG ALACIDES NUNES 120, CS A","TENONE","66820-020"
"157614","Q PISO COM MAT CONSTR LTDA ME","Norte","PA","Pequeno A - 1","W L Repres Ltda - Me","BELEM","ROD AUGUSTO MONTENEGRO 71","COQUEIRO","66823-060"
"285131","M P DA SILVA QUARESMA EIRELI ME","Norte","PA","Pequeno A - 1","W L Repres Ltda - Me","BELEM","TV DA SOLEDADE 998","ICOARACI","66812-030"
"83346","MAGALHAES & AZEVEDO LTDA","Norte","PA","Pequeno A - 1","Side Representacoes Ltda Me","BELEM","AV BERNARDO SAYAO 4252","GUAMA","66065-120"
"269295","MEP REPRESENTACAO COMERCIAL","Norte","PA","Pequeno A - 1","W L Repres Ltda - Me","BELEM","AV PAULO COSTA 2739, B","AGUA BOA (OUTEIRO)","66650-520"
"232910","DYJEAN LOPES DA SILVA","Norte","PA","Pequeno A - 1","Kb Nf Repres Ltda - Epp","BELEM","TRAV PEREBEBUI 532, QD1","PEDREIRA","66083-772"
"174238","FERRAG SAO PEDRO COM LTDA ME","Norte","PA","Pequeno A - 1","W L Repres Ltda - Me","BELEM","R OITO DE MAIO 247, B","ICOARACI","66811-130"
"180686","M J Q DE OLIVEIRA ME","Norte","PA","Pequeno A - 1","W L Repres Ltda - Me","BELEM","ROD MARIO COVAS 284","COQUEIRO","66650-000"
"225823","RAIMUNDO MATERIAIS DE CONSTR EIRELI","Norte","PA","Pequeno A - 1","Side Representacoes Ltda Me","BELEM","R BOAVENTURA DA SILVA 594","NAZARE","66055-090"
"219631","M & V COM VEREJ MAT CONSTR EM GERAL","Norte","PA","Pequeno A - 1","Kb Nf Repres Ltda - Epp","BELEM","AV DR FREITAS 1122","PEDREIRA","66087-810"
"246688","J M SILVA RIBEIRO ME","Norte","PA","Pequeno A - 1","Kb Nf Repres Ltda - Epp","BELEM","AV GALEAO 01, A","MARACANGALHA","66110-040"
"186806","COM BELEM DE PISOS E REV EIRELI","Norte","PA","Pequeno A - 2","Side Representacoes Ltda Me","BELEM","R BARAO DE IGARAPE MIRI 59","GUAMA","66075-045"
"68525","A C S CUNHA","Norte","PA","Pequeno A - 2","Side Representacoes Ltda Me","BELEM","R BR DE IGARAPE MIRI 31","GUAMA","66075-000"
"220231","SALOMAO ANTONIO & CIA LTDA EPP","Norte","PA","Pequeno A - 2","Side Representacoes Ltda Me","BELEM","AV GOV MAGALHAES BARATA 379","NAZARE","66040-170"
"207397","C L DA COSTA RODRIGUES EIRELI","Norte","PA","Pequeno A - 2","W L Repres Ltda - Me","BELEM","ROD AUGUSTO MONTENEGRO 3650","TENONE","66820-000"
"215606","TELHA DO NORTE EIRELI","Norte","PA","Pequeno A - 2","Side Representacoes Ltda Me","BELEM","R BOAVENTURA DA SILVA 1514, B","NAZARE","66055-090"
"18960","MUIRAQUITA COM MAT CONSTR LTDA","Norte","PA","Pequeno A - 2","Kb Nf Repres Ltda - Epp","BELEM","R DIOGO MOIA 544","UMARIZAL","66055-170"
"111532","AURICELIO BRITO CUNHA ME","Norte","PA","Pequeno A - 2","Side Representacoes Ltda Me","BELEM","TRV QUATORZE DE ABRIL 771","FATIMA","66000-000"
"190871","S S DA ROSA ME","Norte","PA","Pequeno A - 2","W L Repres Ltda - Me","BELEM","TRAV WE 8 930","COQUEIRO","66670-220"
"200321","SERVMASTER COM MAT CONSTR ALIMENTOS","Norte","PA","Pequeno A - 2","Kb Nf Repres Ltda - Epp","BELEM","TRAV MAURITI 3633","MARCO","66093-682"
"197529","KARINE & SOUZA FERRAG MAT CONSTR","Centro Oeste","DF","Grande - 1","Noroeste Repres Mat Constr Ltda","BRASILIA","QD 07 LOTE 1360/1380 SN","STR INDL (GAMA)","72445-070"
"132071","LEROY MERLIN CIA BRASILEIRA BRICOLA","Centro Oeste","DF","Home Center Nacional","Samuel Nogueira Torres","BRASILIA","Q QS 3 R 420 SN, LT 4","AREAL AGUAS CLARAS","71953-100"
"288407","VGS COMERCIO VAREJISTA DE MATERIAL","Centro Oeste","DF","Medio A - 1","Maxifer Repres Ltda","BRASILIA","TV SIA TRECHO 645","SIA","71200-027"
"248312","MULT ATACADISTA DE MATERIAIS CONSTR","Centro Oeste","DF","Medio A - 1","Nova Mega Representacoes Comerciais","BRASILIA","QD 03 CONJ B AREA ESPECIAL LT","PARANOA","71570-306"
"244964","BOAZ COMERCIO DE MADEIRAS E","Centro Oeste","DF","Medio A - 1","Elvis Pinto Monteiro","BRASILIA","Q QI 07 SN","GAMA","72445-070"
"254191","DMC ATACADAO DA CONSTRUCAO EIRELI","Centro Oeste","DF","Mega","Maxifer Repres Ltda","BRASILIA","ST SAGOCA SN, LT 17","TAGUATINGA NORTE","72145-760"
"201218","A C COELHO MAT CONSTR LTDA","Centro Oeste","DF","Mega","Maxifer Repres Ltda","BRASILIA","STRC TRECHO 2 CONJ A LT 5 SN","ZONA INDUSTRIAL GUARA","71225-521"
"210944","BABILONIA MIX ACAB EIRELI ME","Centro Oeste","DF","Pequeno A - 1","Elvis Pinto Monteiro","BRASILIA","QD 02 LT 15 LJ 1 2 E 3 SETOR A","GAMA","72415-100"
"294821","DOURADO VIDRACARIA PORTAS E JANELAS","Centro Oeste","DF","Pequeno A - 1","Elvis Pinto Monteiro","BRASILIA","SHA CONJ 4 CHACARA 83-1 L SN,","SHA","71994-480"
"90953","V M DE LEMOS MAT CONSTR ME","Centro Oeste","DF","Pequeno A - 1","Elvis Pinto Monteiro","BRASILIA","QS 05 R 300 LT 03 LJ 06 SN","AGUAS CLARAS","72030-150"
"232855","A C MAT CONSTR LTDA ME","Centro Oeste","DF","Pequeno A - 1","Elvis Pinto Monteiro","BRASILIA","AV SUCUPIRA MOD 46 SN","RIACHO FUNDO I","71825-300"
"43495","SARAIVA & SANTOS LTDA","Centro Oeste","DF","Pequeno A - 1","Maxifer Repres Ltda","BRASILIA","QI 03 BL B LOJA 05 SN","GUARA I","71020-622"
"30909","JOAQUIM SOARES DA SILVA MAT CONSTR","Centro Oeste","DF","Pequeno A - 1","Maxifer Repres Ltda","BRASILIA","QND 40 LT 01 LJ 01 SN","TAGUATINGA NORTE","72120-400"
"282215","LR COMERCIO E SERVICOS DE PISOS E","Centro Oeste","DF","Pequeno A - 1","Maxifer Repres Ltda","BRASILIA","Q SHCGN CLR QUADRA 708 BLOCO B","ASA NORTE","70740-762"
"219746","PORTAL DA CONSTR AGROP E TRANSP","Centro Oeste","DF","Pequeno A - 1","Elvis Pinto Monteiro","BRASILIA","AV PONTE ALTA NORTE DF 01, LOJ","GAMA","72426-100"
"178152","GONCALVES & CRUZ MAT CONSTR LTDA ME","Centro Oeste","DF","Pequeno A - 1","Maxifer Repres Ltda","BRASILIA","ADE CJ 04 LT 15 SN","AGUAS CLARAS","71986-000"
"204189","ROCHA & MACHADO MAT CONSTR LTDA","Centro Oeste","DF","Pequeno A - 1","Telhafix Produtos Para Constru","BRASILIA","R 7 SN, CHAC 142","SOBRADINHO","73100-210"
"185845","NOSSA LOJA MATERIAIS PARA CONSTRUÇA","Centro Oeste","DF","Pequeno A - 1","Telhafix Produtos Para Constru","BRASILIA","Q ES 12A LOTE 05 LOJA 01 05","SETOR DE MANSOES DE SOBRA","73083-290"
"261480","PONTO CERTO COM DE PRODUTOS","Centro Oeste","DF","Pequeno A - 1","Maxifer Repres Ltda","BRASILIA","Q QNP 15 CJ D LT 50 LJ 1 SN","CEILANDIA","72241-604"
"136596","IRMAOS CHAVES TANSP MAT SERV TERRAP","Centro Oeste","DF","Pequeno A - 1","Elvis Pinto Monteiro","BRASILIA","CH 06 LT 06 PONTE ALTA NORTE S","GAMA","72427-010"
"284222","ATACADAO DA CONSTRUCAO COMERCIO VAR","Centro Oeste","DF","Pequeno A - 1","Nova Mega Representacoes Comerciais","BRASILIA","CDM MINI CHACARAS DO LAGO SUL","S H JARDIM BOTANICO","71680-621"
"191889","LUCI APARECIDA DE JESUS ELETR E","Centro Oeste","DF","Pequeno A - 1","Noroeste Repres Mat Constr Ltda","BRASILIA","QUADRA 15M CONJUNTO 12, SETOR","ARAPOANGA (PLANALTINA)","73369-130"
"162751","S R NEVES ME","Centro Oeste","DF","Pequeno A - 1","Nova Mega Representacoes Comerciais","BRASILIA","QD 22 CJ A LT 12 LJ 03 SN","PARANOA","71572-201"
"71881","SALES & PENA MAT DE CONST LTDA","Centro Oeste","DF","Pequeno A - 1","Nova Mega Representacoes Comerciais","BRASILIA","SCLSW 102 BL A LJ 10 E 12 SN","SETOR SUDOESTE","70649-970"
"124509","EDINALVA DA SILVA DE SOUSA ME","Centro Oeste","DF","Pequeno A - 1","Noroeste Repres Mat Constr Ltda","BRASILIA","QD 04 CONJ F SN, LT17A LJ01","PLANALTINA","73368-512"
"102018","ANTONIA FRANCISCA DAS NEVES TAVARES","Centro Oeste","DF","Pequeno A - 1","Nova Mega Representacoes Comerciais","BRASILIA","SHTQ QUADRA 01 CONJ 3 LT SN, T","TAGUARI","71551-128"
"298419","G5 COMERCIO E SERVICOS DE MATERIAIS","Centro Oeste","DF","Pequeno A - 1","Elvis Pinto Monteiro","BRASILIA","A ADE CJ 2 LT 37","RECANTO DAS EMAS","72640-002"
"265995","GILBERTO FERREIRA PAIS ME","Centro Oeste","DF","Pequeno A - 1","Nova Mega Representacoes Comerciais","BRASILIA","VL VARJAO DO TORTO SN","SETOR DE HABITACOES INDIV","71540-400"
"207337","ELETRICA SANTA ROSA LTDA ME","Centro Oeste","DF","Pequeno A - 1","Maxifer Repres Ltda","BRASILIA","Q QS 104 CONJUNTO 6 SN, LT04 L","SAMAMBAIA SUL (SAMAMBAIA)","72302-506"
"23694","PROCAL FERRAG TINTAS LTDA","Sul ","RS","Grande - 2","Lorhan Amaral Nunes","PORTO ALEGRE","AV BENTO GONCALVES 1073","PARTENON","90000-000"
"156628","CONSTRULEAL LTDA","Sul ","RS","Grande - 2","Mauricio Feijo De Moraes","PORTO ALEGRE","AV A J RENNER 1240","HUMAITA","90250-000"
"107396","TUMELERO MATERIAIS DE CONSTRUCAO LT","Sul ","RS","Home Center Nacional","Cleiton Luis Boufleuher","PORTO ALEGRE","AV SERTORIO 9700","SARANDI","91020-000"
"88249","ELEVATO MAT CONSTR & DECORACAO LTDA","Sul ","RS","Medio A - 1","Lorhan Amaral Nunes","PORTO ALEGRE","R SEVERO DULLIUS 381","SAO JOAO","90220-310"
"16799","F M A GROFF MAD LTDA","Sul ","RS","Medio A - 1","Lorhan Amaral Nunes","PORTO ALEGRE","AV TRAMANDAI 657","IPANEMA","91760-050"
"137236","FERRAGEM TRES FIGUEIRAS LTDA","Sul ","RS","Medio A - 2","Diego Dalla Porta Machado","PORTO ALEGRE","R ANITA GARIBALDI 2644","MONT SERRAT","90480-200"
