"Cliente - Nome";"Cliente - CNPJ";"Cliente - Estado";"Cliente - Cidade";"rua";"numero";"bairro";"cep (8 digitos)";"CONCAT"
"MILBLOCOS MATERIAL DE CONSTRUCAO EIRELI";"35958339000180";"ES";"CARIACICA";"AV CARIACICA";204;"VILA CAPIXABA";"29.148-100";"AV CARIACICA, 204, VILA CAPIXABA, CARIACICA"
"ARLINDO CARREIRA CIA LTDA";"55019012000150";"SP";"LEME";"AV DOUTOR JAMBEIRO COSTA";1755;"CENTRO";"13.610-236";"AV DOUTOR JAMBEIRO COSTA, 1755, CENTRO, LEME"
"YARALIAN E MURAYAMA LTDA";"8024864000155";"SP";"PRESIDENTE PRUDENTE";"AV BRASIL";2298;"JARDIM BELA DARIA";"19.013-001";"AV BRASIL, 2298, JARDIM BELA DARIA, PRESIDENTE PRUDENTE"
"PANORAMA MATERIAIS DE CONSTRUCAO LTDA";"1711005000608";"PR";"FOZ DO IGUACU";"AV COSTA E SILVA PARQUE PRESIDENTE/JARDIM CLAUDIA/CR1/JARDIM IT";3300;"CAMPOS DO IGUACU";"85.852-282";"AV COSTA E SILVA PARQUE PRESIDENTE/JARDIM CLAUDIA/CR1/JARDIM IT, 3300, CAMPOS DO IGUACU, FOZ DO IGUACU"
"NICOM COMERCIO DE MATERIAIS PARA CONSTRUCOES LTDA";"60403110000630";"SP";"SAO PAULO";"R DOUTOR ABELARDO VERGUEIRO CESAR";2;"VILA ALEXANDRIA";"04.635-080";"R DOUTOR ABELARDO VERGUEIRO CESAR, 2, VILA ALEXANDRIA, SAO PAULO"
"SUVINENSE DE CAMPOS TINTAS LTDA";"6049974000650";"RJ";"CAMPOS DOS GOYTACAZES";"AV 24 DE OUTUBRO";87;"PARQUE TARCISIO MIRANDA";"28.024-600";"AV 24 DE OUTUBRO, 87, PARQUE TARCISIO MIRANDA, CAMPOS DOS GOYTACAZES"
"PREMOLNITOS MATERIAIS DE CONSTRUCAO LTDA";"9436414000132";"PE";"PETROLINA";"AV DA INTEGRACAO AYRTON SENNA (LOTEAMENTO CIDADE JARDIM)";1010;"MARIA AUXILIADORA";"56.330-290";"AV DA INTEGRACAO AYRTON SENNA (LOTEAMENTO CIDADE JARDIM), 1010, MARIA AUXILIADORA, PETROLINA"
"LIGIA CONCEICAO DO AMARAL LIMA";"24009197000511";"SP";"LENCOIS PAULISTA";"AV PREFEITO JACOMO NICOLAU PACCOLA";500;"PARQUE RESIDENCIAL RONDON";"18.685-099";"AV PREFEITO JACOMO NICOLAU PACCOLA, 500, PARQUE RESIDENCIAL RONDON, LENCOIS PAULISTA"
"COAMO AGROINDUSTRIAL COOPERATIVA";"75904383003228";"PR";"CAMPO MOURAO";"R PIONEIRO ADINOR CORDEIRO DE SOUZA";780;"JARDIM SILVANA";"87.309-730";"R PIONEIRO ADINOR CORDEIRO DE SOUZA, 780, JARDIM SILVANA, CAMPO MOURAO"
"IMPORTADORA OPLIMA LTDA";"4945481000169";"PA";"BELEM";"R MUNICIPALIDADE";1157;"TELEGRAFO";"66.050-350";"R MUNICIPALIDADE, 1157, TELEGRAFO, BELEM"
"L JARDIM E CIA LTDA";"12270435000488";"AL";"MACEIO";"AV FERNANDES LIMA";"991-B";"FAROL";"57.055-000";"AV FERNANDES LIMA, 991-B, FAROL, MACEIO"
"FERRAMENTAS GERAIS COMERCIO E IMPORTACAO DE FERRAMENTAS E MA";"92664028002780";"RS";"NOVO HAMBURGO";"ROD RS-239";1199;"OPERARIO";"93.352-700";"ROD RS-239, 1199, OPERARIO, NOVO HAMBURGO"
"POLITINTAS LTDA";"27171883001473";"ES";"CARIACICA";"R TREZE";419;"MARACANA";"29.142-866";"R TREZE, 419, MARACANA, CARIACICA"
"SR ACABAMENTOS E MAT P CONSTR LTDA";"26443804000159";"DF";"BRASILIA";"ST SIA TRECHO 1";"S/N";"ZONA INDUSTRIAL (GUARA)";"71.200-010";"ST SIA TRECHO 1, S/N, ZONA INDUSTRIAL (GUARA), BRASILIA"
"FERRAGEM LORENZET LTDA";"88318456000145";"RS";"PELOTAS";"AV ENGENHEIRO ILDEFONSO SIMOES LOPES";500;"TRES VENDAS";"96.060-290";"AV ENGENHEIRO ILDEFONSO SIMOES LOPES, 500, TRES VENDAS, PELOTAS"
"AC COELHO MAT CONST LTDA";"37083474000154";"DF";"BRASILIA";"TR SIA TRECHO 3, LOTES 1010/1060/1070/1080/1090/1100/1110/1120";"SN";"SETOR DE INDUSTRIA E ABASTECIMENTO";"71.200-030";"TR SIA TRECHO 3, LOTES 1010/1060/1070/1080/1090/1100/1110/1120, SN, SETOR DE INDUSTRIA E ABASTECIMENTO, BRASILIA"
"JAGUAR COM DE TINTAS LTDA";"7221472000113";"CE";"FORTALEZA";"AV CORONEL CARVALHO";2731;"JARDIM IRACEMA";"60.341-630";"AV CORONEL CARVALHO, 2731, JARDIM IRACEMA, FORTALEZA"
